rangee;siege;statut
A;0;L
A;14;L
A;13;L
A;12;L
A;11;L
A;10;L
A;9;L
A;8;L
A;7;L
A;6;L
A;5;L
A;4;L
A;3;L
A;2;L
A;1;L
A;0;L
B;0;L
B;14;L
B;13;L
B;12;L
B;11;L
B;10;L
B;9;L
B;8;L
B;7;L
B;6;L
B;5;L
B;4;L
B;3;L
B;2;L
B;1;L
B;0;L
C;0;L
C;14;L
C;13;L
C;12;L
C;11;L
C;10;L
C;9;L
C;8;L
C;7;L
C;6;L
C;5;L
C;4;L
C;3;L
C;2;L
C;1;L
C;0;L
D;0;L
D;14;L
D;13;L
D;12;L
D;11;L
D;10;L
D;9;L
D;8;L
D;7;L
D;6;L
D;5;O
D;4;L
D;3;L
D;2;L
D;1;L
D;0;L
E;0;L
E;14;L
E;13;L
E;12;L
E;11;L
E;10;L
E;9;L
E;8;L
E;7;L
E;6;L
E;5;L
E;4;L
E;3;L
E;2;L
E;1;L
E;0;L
F;0;L
F;14;L
F;13;L
F;12;L
F;11;L
F;10;L
F;9;L
F;8;O
F;7;L
F;6;O
F;5;O
F;4;L
F;3;L
F;2;O
F;1;O
F;0;L
G;0;L
G;14;L
G;13;L
G;12;L
G;11;L
G;10;L
G;9;O
G;8;L
G;7;L
G;6;L
G;5;O
G;4;O
G;3;L
G;2;L
G;1;L
G;0;L
H;0;L
H;14;L
H;13;L
H;12;L
H;11;L
H;10;L
H;9;L
H;8;O
H;7;O
H;6;L
H;5;L
H;4;L
H;3;L
H;2;L
H;1;L
H;0;L
I;0;L
I;14;L
I;13;L
I;12;O
I;11;O
I;10;L
I;9;L
I;8;O
I;7;O
I;6;O
I;5;O
I;4;L
I;3;L
I;2;L
I;1;L
I;0;L
J;0;L
J;14;L
J;13;L
J;12;L
J;11;L
J;10;L
J;9;L
J;8;L
J;7;L
J;6;L
J;5;O
J;4;L
J;3;L
J;2;L
J;1;L
J;0;L
K;0;L
K;14;L
K;13;L
K;12;L
K;11;L
K;10;O
K;9;L
K;8;L
K;7;O
K;0;L
K;5;L
K;4;L
K;3;L
K;2;L
K;0;L
K;0;L
